Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Product rating count (product.metafields.reviews.rating_count),Color (product.metafields.shopify.color-pattern),Item condition (product.metafields.shopify.item-condition),Item material (product.metafields.shopify.item-material),Manufacturer type (product.metafields.shopify.manufacturer-type),Size (product.metafields.shopify.size),Vehicle drive/handling features (product.metafields.shopify.vehicle-drive-handling-features),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Australia,Price / Australia,Compare At Price / Australia,Included / International,Price / International,Compare At Price / International,Status
5-year-anniversay-hoodie,,,,,,,,,4xl,,,,,,,,,1000.0,,deny,manual,60.00,70.00,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0416/4393/3854/files/hoodiebackFINAL.jpg?v=1741224403,kg,,,,,,,,,
5-year-anniversay-hoodie,,,,,,,,,5xl,,,,,,,,,1000.0,,deny,manual,60.00,70.00,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0416/4393/3854/files/hoodiebackFINAL.jpg?v=1741224403,kg,,,,,,,,,
the-essentials-car-cleaning-kit,"""THE ESSENTIALS""  CAR CLEANING KIT","<p>Zoo Performance car cleaning  range including e<span>verything you need to give your </span><span class=""TNT2l AStapd"">car</span><span> the TLC it deserves.  Our products are safe to use on all paint surfaces and finishes, including ceramic coating, chrome, alloy, glass and non-porous plastics.  We know cars and we know parts, so we thought it was time to produce the perfect aftercare products to allow a flawless car wash and quality finish anywhere, anytime!</span></p>
<p>The Essentials Kit Includes;<br>1 x Black Waterproof Carry Bag<br>1 x Microfibre Charcoal Cloth with hanging loop (50cm x 60cm)<br>1 x 500ML Extreme Snow Foam Car Wash - Bubblegum Scented!<br>1 x 500ML Waterless Wash &amp; Wax Solution Spray - Vanilla Scented!<br>1 x 500ML Iron Wheel &amp; Tyre Cleaner Spray - Grape Scented!<br>1 x 500ML Ceramic Coating Protection Spray - Coconut Scented!<br>1 X 500ML Bug and Tar Remover Spray - Peach Scented!<br><br><br><br><strong><span style=""text-decoration: underline; color: rgb(0, 170, 255);"">About the Products in this Kit</span><br></strong><br><strong>""Talk Dirty to Me"" Extreme Snow Foam Car Wash</strong><br>Our extreme wash snow foam offers exceptional cleaning capabilities through advanced<br>foaming technology to effectively remove dirt, dust and oil stains from the vehicle surface.  It’s bubblegum scented formula contains specialised cleaning agents that can penetrate and break down even the toughest of grime for a enhanced clean and brilliant shine.<br><br>Our innovative snow foam is designed with the perfect pH balance to remove tough dirt and debris while safely maintaining your vehicle’s wax or sealant. Our snowfoam works great with any foam gun or foam cannon for the perfect<br>touch-free wash.<br><br><strong>""Dirty Little Secret"" Waterless Wash &amp; Wax Solution</strong><span style=""text-decoration: underline;""><br></span>Our vanilla scented waterless wash and wax is the 1-step solution to a enhanced detailed look for your<br>vehicle. Clean, protect and shine with our waterless system and provide durable<br>long-lasting protection with the optimal gloss-shine finish.<br><br>Our specially designed pH balanced formula is perfect for all paint surfaces, chrome and<br>alloy wheels, glass, bumpers, plastics and more. Look no further than our Waterless Wash and Wax, designed for car enthusiasts to allow the perfect car wash and quality finish anywhere, anytime.<br><br><strong>""Purple Gold"" Iron Wheel &amp; Tyre Cleaner</strong><span style=""text-decoration: underline;""><br></span>Iron contaminates, brake dust and grime are no match against our powerful<br>Iron Remover Wheel Cleaner. This revolutionary grape scented formula breaks down even the toughest, stubborn dirt from the surface of any vehicle while carefully preserving paintwork and wheels.<br><br>Our wheel cleaner easily removes road grime and heavy brake dust to restore<br>your wheels and will leave your vehicle with an exceptional clean surface finish.<br>Effortlessly easy to use and safe to use on paint, chrome, alloy, glass, wheels and<br>most plastics.<br><span style=""text-decoration: underline;""><br></span></p>
<p><strong>""Ceramic Armour"" Coating Protection Spray<br></strong>Our ceramic protection spray is formulated using a flurosilicone polymer to form a<br>crystal-like film over the paint surface for the maximum amount of protection. The film<br>creates a barrier to repel water, shed contaminants and enables self-cleaning.<br>It can be safely used on both coated and non-coated vehicles.<br><br>Our coconut-scented ceramic spray forms a unpenetrable protection armour not only against water and dirt but prevents discolouration from UV Rays, water spots and other harsh environment conditions. Whether you looking for paint protection, the ultimate shine-finish or to extend the condition of your vehicle’s surface inbetween washes, our ceramic armour will keep<br><br></p>
<p><strong>""Rubber Be Gone"" Bug and Tar Remover</strong></p>
<p>Tackle the toughest stains and grime with our Bug &amp; Tar Remover. This easy to use<br>concentrated formula penetrates and dissolves stubborn road tar, stains, insects,<br>grime and bird droppings for a spot-free clean surface finish.<br><br>No hard scubbing required and leaves behind an immaculate clean surface.<br>Our Bug and Tar remover is safe to use on all paint surfaces, chrome, alloy glass and<br>non-porous plastic. Perfect for removing stubburn baked-on stickers and livery residue.<br><br></p>
<p><em>*Note: Seller makes no warranty, expressed or implied nor accepts any responsibility for any direct or indirect consequential damages beyond purchase as seller as no control over user’s handling or effect of use.<br>**Always test product first on an inconspicuous area</em><br><em>***Please contact our team to request MSDS.</em><br></p>
<p> </p>",Zoo Performance,"Vehicles & Parts > Vehicle Parts & Accessories > Vehicle Maintenance, Care & Decor > Vehicle Cleaning > Car Wash Solutions",Accessories,"Car Care, Car Cleaning, Cleaning, Cleaning Kit",true,Title,Default Title,,,,,,,,ZOO-ESSENTIALSKIT,5000.0,shopify,deny,manual,119.99,139.99,true,true,,https://cdn.shopify.com/s/files/1/0416/4393/3854/files/the_essentials.jpg?v=1739237273,1,"",false,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
the-essentials-car-cleaning-kit,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0416/4393/3854/files/PACK_5.jpg?v=1739237273,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the-essentials-car-cleaning-kit,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0416/4393/3854/files/BAG.jpg?v=1739237273,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the-essentials-car-cleaning-kit,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0416/4393/3854/files/CLOTH.jpg?v=1739237273,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the-essentials-car-cleaning-kit,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0416/4393/3854/files/SNOWFOAM.jpg?v=1739237273,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the-essentials-car-cleaning-kit,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0416/4393/3854/files/PURPLE_GOLD.jpg?v=1739237273,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the-essentials-car-cleaning-kit,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0416/4393/3854/files/WATERLESS_WAX.jpg?v=1739237273,7,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the-essentials-car-cleaning-kit,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0416/4393/3854/files/CERAMIC_807046fc-3b1f-4aca-b257-19dddb2c108f.jpg?v=1739237498,8,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
